1737,1069
125,63
2643,1347
100,55
95,65
61,35
1015,496
61,43
6,5
309,205
1174,606
2441,1226
213,105
452,210
30,23
1779,1161
372,205
213,132
218,133
151,68
61,34
645,410
197,93
5,4
541,347
167,94
169,115
126,74
319,159
2431,1248
163,104
70,34
863,475
557,271
193,117
1189,726
327,203
480,303
91,62
98,68
963,494
2832,1749
2,2
225,109
515,331
876,451
271,175
2,2
704,460
658,409
1254,627
6972,4336
7874,4975
221,134
317,145
1,1
248,134
778,393
290,187
2215,1152
1272,650
429,255
520,321
195,120
122,87
1534,950
934,490
67,45
1549,984
43,32
5,5
445,272
163,85
166,104
166,81
4383,2245
198,124
746,479
203,135
258,130
761,452
288,170
310,157
133,82
444,274
160,78
720,380
5,4
332,177
1202,720
514,294
895,423
18,12
229,150
615,389
1387,660
28,16
8,8
1004,625
408,189
452,295
284,142
604,279
633,350
367,214
758,394
48,32
111,58
1439,688
325,210
626,362
577,280
90,70
2517,1307
233,111
179,97
550,282
1014,651
1520,816
1065,512
654,411
852,431
297,177
2121,1322
162,89
2578,1612
1203,594
2750,1386
2469,1249
277,169
810,404
7,6
254,149
821,537
1050,663
1167,719
1038,670
3492,1818
766,404
152,74
404,239
131,56
172,100
201,120
61,34
4237,2689
310,155
437,270
697,357
4,2
2686,1426
1946,1235
241,134
282,177
124,76
33,17
136,87
274,164
1262,786
707,358
322,153
164,113
128,74
180,91
376,188
486,244
122,64
681,299
857,551
82,41
1002,605
59,33
728,372
169,86
51,15
376,262
596,288
108,48
2677,1690
1415,724
2963,1883
4703,2301
844,509
22,10
356,214
95,67
461,289
206,92
40,27
284,151
170,112
950,605
383,188
448,225
984,493
2798,1779
166,107
73,53
13,11
50,36
466,226
79,46
867,427
266,137
274,134
164,76
228,149
311,206
25,19
1339,686
636,390
102,57
138,78
12,10
678,343
697,322
125,76
77,53
1011,487
617,396
333,151
6,5
141,88
354,199
997,508
780,490
208,97
233,113
192,103
141,81
683,339
95,51
867,519
41,30
774,457
905,450
133,76
292,147
623,370
1363,845
608,315
217,150
2678,1380
225,99
1698,869
613,368
161,63
14,8
1306,844
54,37
538,279
649,374
419,277
183,94
161,98
877,422
297,186
404,196
86,59
640,320
971,558
1233,606
572,369
336,165
1466,716
146,89
3232,1628
292,141
254,146
580,367
77,47
318,159
121,49
1414,732
205,119
246,145
1,1
357,164
351,163
294,179
708,344
644,380
263,134
1010,612
2014,1256
1555,813
453,229
299,180
373,189
795,377
830,424
156,86
534,314
236,126
2404,1213
1700,863
109,57
118,58
329,219
635,291
1106,707
147,92
35,18
368,178
77,48
82,46
38,23
467,291
125,86
337,173
604,300
618,319
527,277
466,236
212,106
401,178
65,44
229,138
865,545
13,11
497,249
4432,2307
977,629
3807,2443
250,151
307,147
63,39
26,25
629,394
858,539
1383,698
2761,1417
63,44
216,120
1639,1036
5556,2709
48,22
907,559
189,107
325,203
1,1
52,30
124,83
121,72
77,49
162,97
2446,1165
611,418
362,165
35,21
71,40
789,475
197,100
306,157
700,444
773,481
538,321
953,514
1051,706
240,124
30,23
449,272
415,260
61,37
2929,1453
106,52
769,362
1465,698
2553,1565
934,472
484,300
775,486
2312,1135
229,108
391,188
1471,903
71,44
318,169
3125,2029
3920,1862
181,92
271,115
1554,772
460,295
2124,1320
809,394
769,479
295,147
489,307
104,42
217,112
1147,575
16,12
1410,703
806,457
346,206
552,265
1055,535
529,256
91,45
398,242
1738,865
334,202
217,106
1358,871
1814,1138
1420,933
231,138
109,59
20,11
238,161
767,374
223,151
245,136
161,101
130,67
1155,579
11,5
752,406
36,13
383,245
88,48
738,459
537,344
1617,816
900,477
1003,626
119,58
57,27
518,255
187,93
1714,1123
39,23
1556,808
425,259
535,342
97,53
280,173
1,1
35,16
11,7
1052,621
483,307
93,58
126,70
783,452
282,160
322,157
156,94
259,178
233,146
161,82
468,252
421,277
489,232
646,408
1307,627
388,237
2,2
647,407
196,125
41,20
19,14
40,20
1041,673
156,97
371,227
3,3
326,154
3991,2025
189,132
419,192
146,65
315,207
223,112
213,136
406,193
257,132
205,130
36,24
1142,687
214,113
2,2
81,52
320,168
4168,2686
3297,1634
1383,708
445,218
119,76
1152,586
7,7
175,107
192,100
2013,1262
3,1
471,215
49,28
693,428
396,186
604,363
244,153
658,418
377,253
1088,537
985,485
1235,763
26,15
36,29
216,122
2141,1383
40,28
858,449
1943,1194
14,11
943,613
1046,618
1740,1041
662,442
124,65
977,484
221,110
122,66
1220,771
736,449
490,235
305,163
152,65
740,343
54,28
425,228
239,152
266,138
478,308
1807,1164
200,131
353,244
162,88
307,183
93,61
172,97
39,24
236,111
7318,3774
686,416
1,1
18,11
450,208
1149,560
730,368
88,61
5312,2708
409,237
398,192
380,188
2532,1572
977,605
190,105
233,138
1350,847
956,472
61,38
128,82
735,438
655,406
682,396
888,537
13,6
103,58
339,159
22,18
813,507
204,101
69,29
255,143
1560,779
21,13
22,16
1002,618
247,114
434,301
68,32
4309,2123
1119,697
679,440
116,71
237,122
22,14
598,302
1340,649
3665,2267
2776,1799
1270,801
282,120
204,114
638,379
173,88
1014,637
185,85
1245,779
363,234
24,20
1139,751
1067,678
1189,745
405,209
201,101
414,202
966,533
901,561
1107,532
1014,537
523,332
49,25
109,54
4318,2176
19,13
1162,592
1214,759
360,169
79,40
714,467
53,31
84,44
217,108
350,224
230,158
680,327
1465,772
23,14
144,74
679,321
131,65
720,341
530,240
158,82
2025,1008
732,373
185,116
651,398
436,273
424,212
373,236
464,308
996,521
40,31
459,256
712,342
2093,1309
71,32
211,130
27,20
298,147
32,12
448,223
237,121
3298,2045
285,168
531,318
180,76
339,183
24,16
796,491
276,176
869,562
1279,667
290,138
2057,994
159,97
373,187
1850,912
1321,712
137,87
1325,677
169,107
485,247
6,3
798,519
288,137
2115,1272
45,31
538,238
841,405
710,354
198,104
356,234
1105,568
3037,1547
1206,600
412,262
366,215
388,196
268,162
174,132
112,76
102,52
796,389
174,96
506,312
81,40
417,214
133,78
575,370
1586,729
21,11
133,74
282,155
373,231
99,67
1233,818
337,215
249,142
697,438
50,30
247,123
1035,539
557,360
287,184
112,62
4621,2296
195,124
517,327
167,106
778,366
327,161
19,10
2257,1425
566,289
128,73
