0,1
1,1
2,1
3,1
4,1
5,1
6,2
7,3
8,3
9,5
10,6
11,8
12,9
13,11
14,13
15,15
16,18
17,19
18,23
19,24
20,26
21,33
22,37
23,40
24,45
25,48
26,52
27,55
28,57
29,59
30,60
31,64
32,69
33,75
34,80
35,84
36,89
37,90
38,95
39,97
40,102
41,104
42,110
43,113
44,120
45,128
46,131
47,138
48,141
49,147
50,153
51,162
52,172
53,175
54,193
55,201
56,215
57,220
58,231
59,244
60,261
61,279
62,292
63,311
64,328
65,351
66,364
67,392
68,422
69,452
70,474
71,515
72,550
73,584
74,609
75,635
76,674
77,709
78,750
79,778
80,816
