0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,2
8,2
9,3
10,4
11,4
12,4
13,6
14,8
15,10
16,11
17,12
18,12
19,13
20,16
21,18
22,20
23,22
24,26
25,29
26,31
27,34
28,36
29,40
30,43
31,48
32,51
33,56
34,58
35,63
36,69
37,74
38,81
39,81
40,87
41,94
42,105
43,112
44,124
45,132
46,141
47,149
48,157
49,163
50,175
51,179
52,189
53,197
54,204
55,210
56,223
57,229
58,240
59,252
60,268
61,276
62,286
63,303
64,318
65,334
66,347
67,360
68,380
69,398
70,421
71,442
72,461
73,485
74,505
75,525
76,556
77,580
78,610
79,646
80,677
