0,1
1,1
2,1
3,1
4,3
5,3
6,5
7,6
8,7
9,8
10,10
11,11
12,13
13,16
14,19
15,23
16,28
17,32
18,35
19,38
20,45
21,53
22,56
23,64
24,69
25,79
26,84
27,90
28,101
29,110
30,120
31,132
32,145
33,157
34,169
35,179
36,202
37,214
38,232
39,257
40,278
41,309
42,336
43,362
44,399
45,428
46,466
47,499
48,530
49,563
50,602
51,632
52,677
53,722
54,768
55,804
56,858
57,904
58,938
59,982
60,1048
61,1114
62,1183
63,1243
64,1285
65,1360
66,1434
67,1518
68,1588
69,1664
70,1740
71,1821
72,1901
73,2008
74,2108
75,2201
76,2306
77,2426
78,2534
79,2636
80,2766
