12.4819,2,0
26.726,377,50
21.1388,792,36
20.5518,40,7
16.1799,135,9
29.098,337,54
41.8566,902,225
32.0854,695,50
33.5288,144,24
22.2534,248,39
43.4905,472,50
18.6121,421,34
41.6621,998,152
25.7862,111,20
16.6019,143,5
25.5321,168,7
36.3939,262,46
22.4452,153,33
15.4652,66,7
30.7305,1115,50
27.0218,669,160
11.4122,46,13
19.3057,55,6
34.0938,579,273
27.1264,257,95
27.0084,697,183
33.8053,673,129
28.1489,373,63
26.4788,385,31
16.9783,73,22
20.3375,67,10
24.3725,165,32
24.4293,440,89
16.6642,1,0
19.3782,18,9
12.8083,5,2
23.0493,329,119
36.799,518,188
18.6939,247,21
35.5691,173,50
20.0488,12,3
4.55647,6,0
15.7604,12,5
22.7427,57,19
14.0922,111,5
26.696,196,43
19.7319,300,40
22.025,342,81
25.3919,208,64
41.967,264,81
22.1482,361,73
28.5023,1316,154
32.9588,683,73
32.7636,462,50
24.5153,397,121
23.2867,513,51
23.3757,104,35
21.9019,467,200
19.8491,179,33
29.4802,208,13
35.6497,402,97
21.5209,227,43
10.5439,8,1
38.7334,591,116
28.5408,332,32
30.6604,226,30
15.2706,4,1
25.5406,214,17
48.4222,672,156
19.115,197,12
23.3495,69,11
23.763,463,38
31.2593,117,44
18.5288,43,10
27.3728,258,21
17.3636,7,1
18.3679,344,86
26.1921,841,126
20.3628,140,55
24.9595,93,22
22.0471,527,35
46.9522,290,55
20.4298,98,3
15.6158,42,9
18.107,67,19
13.3883,47,3
24.0921,417,97
40.7816,856,247
14.9153,30,3
17.8314,50,1
19.9892,64,7
27.8434,132,25
30.6069,246,93
21.1048,367,68
22.3522,236,62
40.9325,221,88
27.3346,475,83
39.9956,846,94
34.6321,689,161
17.7064,173,24
13.0895,71,7
43.6295,169,39
33.23,445,92
30.0223,507,135
23.6565,313,83
23.8514,284,47
22.0737,88,16
31.2082,376,60
28.829,75,9
13.2923,52,15
14.7937,109,36
10.2348,25,3
28.0761,328,61
19.0392,20,6
36.0608,394,35
28.6681,162,33
31.2046,422,70
31.982,186,51
35.0885,397,22
21.0081,262,51
28.9355,597,208
35.4359,142,38
8.52327,13,1
28.6625,82,13
19.4031,51,20
28.585,382,100
35.0501,304,65
37.567,207,17
16.0262,77,31
22.4161,322,44
15.8666,103,17
22.6187,517,240
27.6076,689,49
34.9189,423,96
13.3561,67,27
13.3631,89,34
41.9146,963,241
17.9569,107,20
34.7829,370,72
24.6801,522,133
22.8877,523,128
46.3783,156,41
26.1942,548,82
22.8231,808,52
14.7932,24,4
14.9775,44,5
14.8736,15,4
24.559,549,70
17.4263,375,7
14.4644,55,4
9.30708,9,1
25.4326,263,52
23.3683,73,8
47.6754,271,77
23.1374,83,21
20.4217,152,31
32.8211,426,58
20.8087,77,32
21.5603,184,40
23.9097,437,71
20.8056,38,5
23.8645,87,32
21.855,548,48
46.4363,1506,233
5.23929,1,0
17.167,92,18
28.4177,312,76
32.4034,663,49
39.4869,109,35
22.6166,246,58
29.994,192,42
18.319,112,12
23.6317,348,35
23.0823,236,42
36.4459,198,47
22.5921,687,70
22.5111,4,1
16.1338,74,3
21.9057,116,17
31.5314,340,46
29.0385,292,55
35.5793,25,13
26.8562,94,8
30.1889,495,204
32.0963,400,83
13.9053,53,9
13.3141,42,2
37.1494,231,82
30.3251,365,148
31.8789,238,103
15.5241,132,33
31.6354,487,93
24.5717,210,19
26.0438,93,16
24.1034,113,41
36.1908,106,66
20.1844,345,173
25.1675,203,57
14.2714,86,3
39.5343,1106,379
22.4493,114,11
10.1171,14,3
14.4717,23,8
27.0092,446,15
26.4246,124,28
33.4858,1032,71
29.8135,713,56
25.1986,85,31
19.8987,218,48
16.9999,66,14
40.0911,159,32
37.6309,2153,856
