0,0
0.1,1
0.2,1
0.3,1
0.4,1
0.5,1
0.6,1
0.7,1
0.8,1
0.9,1
1,1
1.1,1
1.2,1
1.3,1
1.4,1
1.5,1
1.6,1
1.7,1
1.8,1
1.9,1
2,1
2.1,1
2.2,1
2.3,1
2.4,1
2.5,1
2.6,1
2.7,1
2.8,1
2.9,1
3,1
3.1,1
3.2,1
3.3,1
3.4,1
3.5,1
3.6,1
3.7,1
3.8,1
3.9,1
4,1
4.1,1
4.2,1
4.3,1
4.4,1
4.5,1
4.6,1
4.7,1
4.8,1
4.9,1
5,1
5.1,1
5.2,1
5.3,1
5.4,1
5.5,1
5.6,1
5.7,1
5.8,1
5.9,1
6,1
6.1,1
6.2,1
6.3,1
6.4,1
6.5,1
6.6,1
6.7,1
6.8,2
6.9,2
7,2
7.1,2
7.2,2
7.3,2
7.4,2
7.5,2
7.6,2
7.7,2
7.8,2
7.9,2
8,2
8.1,2
8.2,2
8.3,2
8.4,2
8.5,2
8.6,2
8.7,2
8.8,2
8.9,2
9,2
9.1,2
9.2,2
9.3,2
9.4,2
9.5,2
9.6,2
9.7,2
9.8,2
9.9,2
10,2
10.1,2
10.2,2
10.3,2
10.4,2
10.5,2
10.6,2
10.7,3
10.8,3
10.9,3
11,3
11.1,4
11.2,4
11.3,4
11.4,4
11.5,4
11.6,4
11.7,4
11.8,4
11.9,4
12,4
12.1,4
12.2,4
12.3,4
12.4,4
12.5,4
12.6,4
12.7,4
12.8,4
12.9,4
13,4
13.1,4
13.2,4
13.3,4
13.4,4
13.5,5
13.6,5
13.7,5
13.8,5
13.9,5
14,5
14.1,5
14.2,5
14.3,5
14.4,5
14.5,5
14.6,5
14.7,5
14.8,5
14.9,6
15,6
15.1,7
15.2,7
15.3,7
15.4,7
15.5,7
15.6,8
15.7,8
15.8,8
15.9,8
16,8
16.1,8
16.2,8
16.3,8
16.4,8
16.5,9
16.6,9
16.7,9
16.8,10
16.9,10
17,11
17.1,11
17.2,11
17.3,12
17.4,12
17.5,12
17.6,12
17.7,12
17.8,12
17.9,12
18,12
18.1,12
18.2,14
18.3,15
18.4,16
18.5,16
18.6,16
18.7,16
18.8,16
18.9,17
19,17
19.1,18
19.2,18
19.3,18
19.4,19
19.5,19
19.6,19
19.7,19
19.8,21
19.9,22
20,23
20.1,23
20.2,23
20.3,23
20.4,24
20.5,24
20.6,24
20.7,24
20.8,24
20.9,24
21,25
21.1,26
21.2,26
21.3,26
21.4,26
21.5,27
21.6,28
21.7,29
21.8,30
21.9,31
22,31
22.1,31
22.2,32
22.3,32
22.4,33
22.5,33
22.6,34
22.7,34
22.8,34
22.9,36
23,36
23.1,36
23.2,36
23.3,36
23.4,36
23.5,36
23.6,36
23.7,36
23.8,36
23.9,36
24,36
24.1,37
24.2,37
24.3,37
24.4,39
24.5,39
24.6,40
24.7,40
24.8,40
24.9,41
25,42
25.1,43
25.2,43
25.3,43
25.4,44
25.5,45
25.6,46
25.7,48
25.8,48
25.9,49
26,49
26.1,49
26.2,49
26.3,50
26.4,51
26.5,54
26.6,55
26.7,55
26.8,55
26.9,55
27,56
27.1,57
27.2,58
27.3,60
27.4,61
27.5,61
27.6,61
27.7,63
27.8,63
27.9,64
28,65
28.1,67
28.2,68
28.3,69
28.4,73
28.5,74
28.6,75
28.7,75
28.8,76
28.9,76
29,76
29.1,76
29.2,78
29.3,78
29.4,80
29.5,81
29.6,81
29.7,81
29.8,81
29.9,81
30,81
30.1,82
30.2,82
30.3,83
30.4,83
30.5,85
30.6,87
30.7,89
30.8,90
30.9,93
31,95
31.1,95
31.2,98
31.3,99
31.4,102
31.5,106
31.6,107
31.7,109
31.8,111
31.9,114
32,115
32.1,116
32.2,119
32.3,123
32.4,125
32.5,127
32.6,128
32.7,131
32.8,131
32.9,132
33,135
33.1,137
33.2,139
33.3,141
33.4,146
33.5,150
33.6,150
33.7,154
33.8,157
33.9,160
34,164
34.1,164
34.2,165
34.3,169
34.4,173
34.5,173
34.6,173
34.7,175
34.8,182
34.9,184
35,187
35.1,187
35.2,192
35.3,194
35.4,196
35.5,199
35.6,200
35.7,209
35.8,212
35.9,214
36,218
36.1,220
36.2,224
36.3,227
36.4,233
36.5,238
36.6,243
36.7,247
36.8,253
36.9,259
37,263
37.1,270
37.2,273
37.3,276
37.4,279
37.5,287
37.6,291
37.7,297
37.8,301
37.9,306
38,312
38.1,319
38.2,327
38.3,332
38.4,343
38.5,346
38.6,350
38.7,357
38.8,364
38.9,367
39,371
39.1,380
39.2,386
39.3,394
39.4,402
39.5,411
39.6,420
39.7,426
39.8,438
39.9,447
40,457
40.1,461
40.2,467
40.3,477
40.4,482
40.5,488
40.6,500
40.7,507
40.8,513
40.9,520
41,528
